Institution,City,State,Avg Jan Temp,Avg April Temp,Avg July Temp,Avg Oct Temp,Days w/Precipitation,Sunny Days
University of Northern Iowa,Cedar Falls,IA,26°/9°,59°/37°,84°/62°,62°/38°,106,192
University of Toledo,Toledo,OH,33°/19°,59°/38°,85°/64°,63°/42°,124,180
University of Michigan-Dearborn,Dearborn,MI,33°/18°,59°/38°,84°/63°,62°/42°,126,180
Wayne State University,Detroit,MI,32°/19°,59°/38°,84°/63°,62°/43°,126,180
University of Wisconsin-La Crosse,La Crosse,WI,26°/9°,59°/38°,84°/63°,60°/41°,114,192
University of Minnesota-Twin Cities,Minneapolis,MN,24°/8°,59°/38°,85°/64°,59°/40°,110.6,196
Kent State University at Kent,Kent,OH,33°/19°,59°/39°,82°/62°,61°/43°,144,164
Southern Connecticut State University,New Haven,CT,38°/21°,59°/39°,83°/64°,64°/44°,108,204
Yale University,New Haven,CT,38°/21°,59°/39°,83°/64°,64°/44°,108,204
Case Western Reserve University,Cleveland,OH,35°/22°,59°/41°,82°/65°,63°/46°,149,166
University of Washington-Bothell Campus,Bothell,WA,48°/36°,59°/42°,76°/55°,60°/46°,162,164
New York Institute of Technology,Old Westbury,NY,39°25°,59°/42°,83°/67°,64°/48°,124,168
Hofstra University,Hempstead,NY,39°/25°,59°/42°,82°/66°,64°/48°,126,172
Adelphi University,Garden City,NY,39°/26°,59°/42°,83°/67°,64°/48°,127,173
Illinois Institute of Technology,Chicago,IL,33°/20°,59°/42°,84°/68°,64°/48°,124,189
University of Illinois at Chicago,Chicago,IL,33°/20°,59°/42°,84°/68°,64°/48°,124,189
University of Chicago,Chicago,IL,33°/20°,59°/42°,84°/68°,64°/48°,125,189
DePaul University,Chicago,IL,33°/20°,59°/42°,84°/68°,63°/48°,126,189
University of Washington-Seattle Campus,Seattle,WA,48°/37°,59°/43°,76°/57°,60°/46°,155,152
Pennsylvania State University-Main Campus,University Park,PA,33°/17°,59°35°,82°/58°,62°/38°,140,182
Grove City College,Grove City,PA,35°/17°,60°/35°,82°/58°,63°/39°,156,161
State University of New York at New Paltz,New Paltz,NY,35°/13°,60°/35°,84°/59°,63°/37°,125,177
Grinnell College,Grinnell,IA,28°/10°,60°/36°,84°/62°,62°/38°,196,104
Vassar College,Poughkeepsie,NY,35°/15°,60°/36°,84°/61°,63°/39°,125,165
Marist College,Poughkeepsie,NY,35°/14°,60°/36°,85°/60°,63°/39°,125,172
Kalamazoo College,Kalamazoo,MI,32°/17°,60°/37°,84°/61°,62°/41°,139,159
Western Michigan University,Kalamazoo,MI,32°/17°,60°/37°,84°/61°,62°/41°,139,161
Bloomsburg University of Pennsylvania,Bloomsburg,PA,34°/18°,60°/37°,83°/60°,62°/40°,123,181
Wheaton College,Wheaton,IL,31°/15°,60°/37°,84°/62°,63°/40°,119,189
Oberlin College,Oberlin,OH,34°/19°,60°/38°,84°/62°,63°/43°,127,166
The College of Wooster,Wooster,OH,34°/18°,60°/38°,83°/60°,63°/40°,138,168
Valparaiso University,Valparaiso,IN,31°/17°,60°/39°,82°/63°,63°/43°,130,175
Bowling Green State University-Main Campus,Bowling Green,OH,32°/18°,60°/39°,84°/63°,63°/42°,128,182
Trinity College,Hartford,CT,36°/18°,60°/39°,84°/63°,63°/41°,120,189
Wesleyan University,Middletown,CT,36°/19°,60°/39°,84°/63°,63°/42°,119,190
United States Military Academy,West Point,NY,34°/18°,60°/39°,82°/63°,62°/43°,120,200
